Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-11 00:00:00-04:00,120.92770773649222,121.01295040637044,119.88495212398634,120.4420166015625,21958000,0.0,0.0
2021-06-14 00:00:00-04:00,120.54411364612498,121.36979239425412,119.83738291214934,121.36930084228516,22098000,0.0,0.0
2021-06-15 00:00:00-04:00,121.37375524077352,121.69639482901378,119.99201021626274,120.3523178100586,21562000,0.0,0.0
2021-06-16 00:00:00-04:00,120.50347871998724,120.81472187751928,118.41995620714307,119.71100616455078,26472000,0.0,0.0
2021-06-17 00:00:00-04:00,119.6366578615454,121.44561439859768,119.44089162710868,120.6734619140625,25842000,0.0,0.0
2021-06-18 00:00:00-04:00,120.30027053137374,120.53419632623287,118.96015621393956,119.05531311035156,46116000,0.0,0.0
2021-06-21 00:00:00-04:00,119.44138689425938,120.92770381044768,118.84467309980958,120.74185180664062,27414000,0.0,0.0
2021-06-22 00:00:00-04:00,120.67990683669676,121.32419532611588,119.99993923776582,121.25530242919922,22390000,0.0,0.0
2021-06-23 00:00:00-04:00,121.0203750157314,122.01356699210014,120.763656359315,121.05358123779295,19148000,0.0,0.0
2021-06-24 00:00:00-04:00,121.6215407970618,121.97391544865464,121.22506259649288,121.42330169677734,21362000,0.0,0.0
2021-06-25 00:00:00-04:00,120.92770999401274,121.55514959738012,120.49653574308054,121.4317398071289,34594000,0.0,0.0
2021-06-28 00:00:00-04:00,121.6002414137362,121.70581164707464,120.33843513053768,121.45899963378906,28526000,0.0,0.0
2021-06-29 00:00:00-04:00,121.59231941946096,121.93974078212916,120.62142867598224,121.19781494140624,23108000,0.0,0.0
2021-06-30 00:00:00-04:00,120.92225223112072,121.18244957571628,120.28787799190351,121.01641845703124,24474000,0.0,0.0
2021-07-01 00:00:00-04:00,120.65512761950698,121.5095508061829,120.4633316053769,121.3683090209961,18110000,0.0,0.0
2021-07-02 00:00:00-04:00,122.06759575847596,124.3017824350133,121.97789131366528,124.15657043457033,25982000,0.0,0.0
2021-07-06 00:00:00-04:00,124.5441347516448,125.31678632682912,123.48750228216252,125.08087921142578,26404000,0.0,0.0
2021-07-07 00:00:00-04:00,126.0443374513042,126.16525922771358,125.04420319403772,125.36238098144533,24060000,0.0,0.0
2021-07-08 00:00:00-04:00,122.93590362834044,124.49160506602672,122.93194096335236,123.94495391845705,23790000,0.0,0.0
2021-07-09 00:00:00-04:00,123.92612095804608,124.62938054281378,123.45677959980704,124.415283203125,18632000,0.0,0.0
2021-07-12 00:00:00-04:00,125.06899821973364,125.95266501095732,124.50698036288892,125.85948944091795,17668000,0.0,0.0
2021-07-13 00:00:00-04:00,125.92192128117352,126.93196222420258,125.56112215124196,126.22225952148438,19240000,0.0,0.0
2021-07-14 00:00:00-04:00,126.83334666215922,128.18982590812473,126.79022621114098,127.10989379882812,23742000,0.0,0.0
2021-07-15 00:00:00-04:00,127.51828061987972,127.56882728892865,125.41790166192334,125.88872528076172,24218000,0.0,0.0
2021-07-16 00:00:00-04:00,126.54092894138478,126.68812227295804,125.0446978361771,125.85401916503906,20424000,0.0,0.0
2021-07-19 00:00:00-04:00,124.98127539757336,125.09576163718329,122.4194879224894,123.48306274414062,27968000,0.0,0.0
2021-07-20 00:00:00-04:00,124.42421478884798,125.92639771719216,123.2575652593545,125.10022735595705,26312000,0.0,0.0
2021-07-21 00:00:00-04:00,125.02487717060784,126.474524368803,124.9158433858396,126.42794036865234,20746000,0.0,0.0
2021-07-22 00:00:00-04:00,126.72032394001042,127.3537074241174,126.37835508858284,127.29273986816406,14302000,0.0,0.0
2021-07-23 00:00:00-04:00,129.28408415405738,132.22649848559698,128.65963179106353,131.8458709716797,41506000,0.0,0.0
2021-07-26 00:00:00-04:00,132.1566459971667,133.05715404694908,131.13866459340358,132.85693359375,30572000,0.0,0.0
2021-07-27 00:00:00-04:00,133.07054257003838,133.2177359147412,128.9604875498707,130.74069213867188,54710000,0.0,0.0
2021-07-28 00:00:00-04:00,135.11391338631623,137.08146728842348,134.08850576613955,134.8978271484375,95130000,0.0,0.0
2021-07-29 00:00:00-04:00,134.95334530972397,135.45985560501686,134.35168567382115,134.58412170410156,31716000,0.0,0.0
2021-07-30 00:00:00-04:00,133.84814909697133,134.11528112375458,133.07500591131242,133.5423583984375,25576000,0.0,0.0
2021-08-02 00:00:00-04:00,133.92942502207725,134.14699347911008,132.61805515773415,133.6692352294922,21634000,0.0,0.0
2021-08-03 00:00:00-04:00,133.94725240636728,134.53900531485272,132.14771857757245,134.4379119873047,20762000,0.0,0.0
2021-08-04 00:00:00-04:00,134.1598811909161,134.45724743917305,133.30495889893086,133.93785095214844,19676000,0.0,0.0
2021-08-05 00:00:00-04:00,134.48795935776522,135.15158472085915,133.66079088435984,135.05393981933594,17870000,0.0,0.0
2021-08-06 00:00:00-04:00,134.8463161522818,135.27302867961484,134.02162798493478,134.54547119140625,20488000,0.0,0.0
2021-08-09 00:00:00-04:00,134.74766566385927,135.9782545970757,134.14995363195558,135.70962524414062,17760000,0.0,0.0
2021-08-10 00:00:00-04:00,136.13485470912244,136.56158228756237,135.16595290851137,135.6045684814453,19414000,0.0,0.0
2021-08-11 00:00:00-04:00,135.97577128495558,136.47235972924676,135.07376593544024,135.08120727539062,15352000,0.0,0.0
2021-08-12 00:00:00-04:00,134.7803782734539,136.09324556598622,134.23522443439262,135.98817443847656,16506000,0.0,0.0
2021-08-13 00:00:00-04:00,136.04365610364334,136.64483162994733,135.82856812035942,136.51695251464844,15948000,0.0,0.0
2021-08-16 00:00:00-04:00,136.31623668767153,137.14638467025773,134.10980386854092,137.09384155273438,22384000,0.0,0.0
2021-08-17 00:00:00-04:00,136.5392916207769,137.05026370678758,134.88595268488515,135.46035766601562,21716000,0.0,0.0
2021-08-18 00:00:00-04:00,135.30028723233838,135.89948159949586,134.1321478539644,134.25852966308594,19258000,0.0,0.0
2021-08-19 00:00:00-04:00,133.25390393778633,135.1540470600647,133.07003326839052,134.48745727539062,21782000,0.0,0.0
2021-08-20 00:00:00-04:00,134.80463305716486,136.34497507893207,134.0612251542761,136.22157287597656,31194000,0.0,0.0
2021-08-23 00:00:00-04:00,136.7568286340333,139.63629421824447,136.39801088067517,138.8106231689453,28454000,0.0,0.0
2021-08-24 00:00:00-04:00,139.37561670216243,140.83121539533298,139.10502114709683,140.01991271972656,19268000,0.0,0.0
2021-08-25 00:00:00-04:00,140.3801958031804,140.9397330762933,140.13339139116107,140.8302001953125,15848000,0.0,0.0
2021-08-26 00:00:00-04:00,140.50411569948363,141.1657446019955,140.1145645733413,140.1973419189453,20610000,0.0,0.0
2021-08-27 00:00:00-04:00,140.40747821898057,143.2423415908645,140.25334264721428,142.73831176757812,28780000,0.0,0.0
2021-08-30 00:00:00-04:00,143.13080955855443,144.6875166286591,142.89589312218945,143.31964111328125,24434000,0.0,0.0
2021-08-31 00:00:00-04:00,143.8712627569478,143.89553786032653,143.01287695186656,143.4257049560547,22448000,0.0,0.0
2021-09-01 00:00:00-04:00,143.72554217822025,144.96851813744988,143.61006529217806,143.93914794921875,21936000,0.0,0.0
2021-09-02 00:00:00-04:00,143.9396648071746,144.2404946102544,141.9265099500036,142.02761840820312,32342000,0.0,0.0
2021-09-03 00:00:00-04:00,141.82291558838094,142.8879648593255,141.14888450599227,142.4761199951172,19850000,0.0,0.0
2021-09-07 00:00:00-04:00,142.5702805498148,143.2943591486346,142.35667479196854,143.01235961914062,20124000,0.0,0.0
2021-09-08 00:00:00-04:00,142.8334564312198,143.1308075175627,141.7431186990499,142.42803955078125,18344000,0.0,0.0
2021-09-09 00:00:00-04:00,142.57624028484273,143.04211051634226,141.9190731671668,142.2793731689453,15314000,0.0,0.0
2021-09-10 00:00:00-04:00,142.9449634747417,143.4465279342337,139.5010145668301,139.63780212402344,36840000,0.0,0.0
2021-09-13 00:00:00-04:00,140.70183751855052,141.6935471974466,140.00849226240882,141.08148193359375,22094000,0.0,0.0
2021-09-14 00:00:00-04:00,141.7386966019526,142.10297447171783,140.50414475974426,141.29165649414062,19674000,0.0,0.0
2021-09-15 00:00:00-04:00,141.51661761675751,143.18086098824864,140.10513777709136,143.16004943847656,27408000,0.0,0.0
2021-09-16 00:00:00-04:00,142.68527016924585,143.03170083482422,141.14988885441545,142.34776306152344,26190000,0.0,0.0
2021-09-17 00:00:00-04:00,141.7733797216764,142.18918733159688,139.23538335972722,139.56248474121094,53384000,0.0,0.0
2021-09-20 00:00:00-04:00,136.94713472876288,137.77826573862563,135.12381007029754,137.50022888183594,46518000,0.0,0.0
2021-09-21 00:00:00-04:00,138.5212142285647,138.78092005656077,137.0626508817225,137.81101989746094,25332000,0.0,0.0
2021-09-22 00:00:00-04:00,138.07960825207437,139.6486873190185,137.33371982330883,139.0504913330078,25056000,0.0,0.0
2021-09-23 00:00:00-04:00,139.74834620899532,140.45111435610144,139.16749808844298,139.97483825683594,20952000,0.0,0.0
2021-09-24 00:00:00-04:00,139.30326368063228,141.07952064576384,139.00837789075337,140.96502685546875,22984000,0.0,0.0
2021-09-27 00:00:00-04:00,139.56691112881026,140.69094656158367,138.83638943281525,139.83206176757812,21882000,0.0,0.0
2021-09-28 00:00:00-04:00,137.43633701546565,137.8739544208415,134.1702991315136,134.63616943359375,45772000,0.0,0.0
2021-09-29 00:00:00-04:00,135.7760328990303,135.94553512593572,132.68842135183831,133.17262268066406,30848000,0.0,0.0
2021-09-30 00:00:00-04:00,133.081447432977,134.3511790892162,132.3821429237052,132.50108337402344,37996000,0.0,0.0
2021-10-01 00:00:00-04:00,133.26579353336834,135.70715804170354,132.8945886396275,135.34288024902344,35360000,0.0,0.0
2021-10-04 00:00:00-04:00,134.7654966784679,134.7654966784679,129.89816454860028,132.48472595214844,51202000,0.0,0.0
2021-10-05 00:00:00-04:00,132.8628491763114,136.0183700328566,132.8628491763114,134.82742309570312,32404000,0.0,0.0
2021-10-06 00:00:00-04:00,133.5656355859823,136.53926754708024,133.3673964801773,136.35589599609375,24364000,0.0,0.0
2021-10-07 00:00:00-04:00,137.67124657959295,138.811148056514,137.43236744248404,138.00132751464844,25110000,0.0,0.0
2021-10-08 00:00:00-04:00,138.3502060903865,139.097576749606,137.99386876227683,138.556884765625,26526000,0.0,0.0
2021-10-11 00:00:00-04:00,138.06775309903637,139.47527073185262,137.638544994846,137.6930694580078,17954000,0.0,0.0
2021-10-12 00:00:00-04:00,138.25406031342655,138.28083098740217,134.5667554031385,135.2497100830078,36332000,0.0,0.0
2021-10-13 00:00:00-04:00,136.19483027400855,136.7870823219551,135.31909643090742,136.3727569580078,19654000,0.0,0.0
2021-10-14 00:00:00-04:00,138.24813789801584,140.095254191985,137.6048400144252,139.910400390625,31894000,0.0,0.0
2021-10-15 00:00:00-04:00,140.36979686591434,140.4723875270416,139.517854250556,140.12545776367188,30274000,0.0,0.0
2021-10-18 00:00:00-04:00,139.83653402400074,141.5409184042978,139.8295917986677,141.5230712890625,20396000,0.0,0.0
2021-10-19 00:00:00-04:00,142.12724781743668,142.39983988575156,141.34667831992454,141.9780731201172,20164000,0.0,0.0
2021-10-20 00:00:00-04:00,142.0781436465424,142.28432319692342,140.1338819812013,140.52293395996094,23288000,0.0,0.0
